broken_name,candidates,occurrences,sample_sources
R/S构型,03-知识点/有机化学/R-S构型.md | 03-知识点/有机化学/旋光异构.md | 03-知识点/有机化学/立体化学.md | 07-资料提炼/书籍提炼/提炼-Clayden-第14章-立体化学.md,8,00-首页/工作日志/2026-05-18.md; 03-知识点/有机化学/R-S构型.md; 03-知识点/有机化学/楔形式.md
KMnO₄,03-知识点/有机化学/双羟化反应.md | 04-题库/真题/第25届决赛/理论/题-025决-6-甲酸乙酸混合滴定.md | 04-题库/真题/第26届初赛/分析化学/题-026-3-1-KMnO4滴定草酸.md,2,04-题库/教材习题/无机化学例题与习题/Ch21-铬副族和锰副族/习题/21.50-21.56-分离鉴别与制备.md; 04-题库/教材习题/无机化学例题与习题/Ch21-铬副族和锰副族/习题/21.57-简答与计算题.md
PréVOSt反应,03-知识点/有机化学/Prevost反应与Woodward反应.md | 03-知识点/有机化学/双羟化反应.md | 04-题库/真题/第28届初赛/有机化学/题-028-10-1-Prévost反应中间体A-D.md,1,04-题库/真题/第28届初赛/有机化学/题-028-10-1-Prévost反应中间体A-D.md
WOlff重排,03-知识点/有机化学/Wolff重排.md | 04-题库/真题/第30届初赛/有机化学/题-030-10-2-Wolff重排关键中间体结构.md,1,04-题库/真题/第30届初赛/有机化学/题-030-10-2-Wolff重排关键中间体结构.md
ROBiNSON增环,04-题库/真题/第30届初赛/有机化学/题-030-8-1-化合物A到F结构简式.md | 07-资料提炼/书籍提炼/提炼-Clayden-第26章-羟醛反应和Claisen反应.md,1,04-题库/真题/第30届初赛/有机化学/题-030-8-1-化合物A到F结构简式.md
ClAiSeN缩合,03-知识点/有机化学/Claisen缩合.md | 03-知识点/有机化学/Claisen重排.md | 05-真题库/真题-有机-Claisen缩合-001.md | 07-资料提炼/书籍提炼/提炼-Clayden-第26章-羟醛反应和Claisen反应.md,1,04-题库/真题/第31届初赛/有机化学/题-031-9-有机推断A到E.md
LU-Hf法,04-题库/真题/第32届初赛/化学原理/题-032-5-2-1-Lu衰变核反应方程式.md | 04-题库/真题/第32届初赛/化学原理/题-032-5-2-3-岩石年龄计算.md,1,04-题库/真题/第32届初赛/化学原理/题-032-5-2-3-岩石年龄计算.md
Friedel-CrAftS烷基化,03-知识点/有机化学/Friedel-Crafts反应.md | 05-真题库/真题-有机-FriedelCrafts-001.md,1,04-题库/真题/第37届初赛/题-037-9-3-1-中间体与产物结构.md
LeWiS酸,03-知识点/化学原理/Lewis酸碱理论.md | 04-题库/真题/第30届初赛/有机化学/题-030-8-2-反应条件选择.md,1,04-题库/真题/第37届初赛/题-037-9-3-2-BF3催化选择性.md
